url,subcommand
https://git-scm.com/docs/git-add,add
https://git-scm.com/docs/git-am,am
https://git-scm.com/docs/git-archive,archive
https://git-scm.com/docs/git-backfill,backfill
https://git-scm.com/docs/git-bisect,bisect
https://git-scm.com/docs/git-branch,branch
https://git-scm.com/docs/git-bundle,bundle
https://git-scm.com/docs/git-checkout,checkout
https://git-scm.com/docs/git-cherry-pick,cherry-pick
https://git-scm.com/docs/git-citool,citool
https://git-scm.com/docs/git-clean,clean
https://git-scm.com/docs/git-clone,clone
https://git-scm.com/docs/git-commit,commit
https://git-scm.com/docs/git-describe,describe
https://git-scm.com/docs/git-diff,diff
https://git-scm.com/docs/git-fetch,fetch
https://git-scm.com/docs/git-format-patch,format-patch
https://git-scm.com/docs/git-gc,gc
https://git-scm.com/docs/git-grep,grep
https://git-scm.com/docs/git-gui,gui
https://git-scm.com/docs/git-init,init
https://git-scm.com/docs/git-log,log
https://git-scm.com/docs/git-maintenance,maintenance
https://git-scm.com/docs/git-merge,merge
https://git-scm.com/docs/git-mv,mv
https://git-scm.com/docs/git-notes,notes
https://git-scm.com/docs/git-pull,pull
https://git-scm.com/docs/git-push,push
https://git-scm.com/docs/git-range-diff,range-diff
https://git-scm.com/docs/git-rebase,rebase
https://git-scm.com/docs/git-reset,reset
https://git-scm.com/docs/git-restore,restore
https://git-scm.com/docs/git-revert,revert
https://git-scm.com/docs/git-rm,rm
https://git-scm.com/docs/git-shortlog,shortlog
https://git-scm.com/docs/git-show,show
https://git-scm.com/docs/git-sparse-checkout,sparse-checkout
https://git-scm.com/docs/git-stash,stash
https://git-scm.com/docs/git-status,status
https://git-scm.com/docs/git-submodule,submodule
https://git-scm.com/docs/git-switch,switch
https://git-scm.com/docs/git-tag,tag
https://git-scm.com/docs/git-worktree,worktree
https://git-scm.com/docs/gitk,gitk
https://git-scm.com/docs/scalar,scalar
